originating-authority-charge-identifier,number_of_polygons,number_of_points,number_of_lines,avg_area_(m^3),area_standard_derivation_(+-),smallest_area_(m^3),largest_area_(m^3)
13726,1,0,0,36.09299999536353,,36.09299999536353,36.09299999536353
13728,0,11,0,,,,
13729,1,0,0,197.219050007583,,197.219050007583,197.219050007583
13730,1,0,0,278.89015001505845,,278.89015001505845,278.89015001505845
13731,1,0,0,3346.5105330150536,,3346.5105330150536,3346.5105330150536
13732,1,0,0,26.87635199947303,,26.87635199947303,26.87635199947303
13733,1,0,0,55.031999996103664,,55.031999996103664,55.031999996103664
13734,1,0,0,89.42999998824554,,89.42999998824554,89.42999998824554
13735,1,0,0,5236.40137656108,,5236.40137656108,5236.40137656108
13736,1,0,0,114.39724998608354,,114.39724998608354,114.39724998608354
13737,1,0,0,284.0850000012366,,284.0850000012366,284.0850000012366
13738,2,0,0,142.13285750254312,4.334207480738818,139.06811000184325,145.197605003243
13739,1,0,0,245.8189000016499,,245.8189000016499,245.8189000016499
13740,1,0,0,102.35439999955506,,102.35439999955506,102.35439999955506
13743,1,0,0,193.9047065161348,,193.9047065161348,193.9047065161348
13745,1,0,0,211433.62429995023,,211433.62429995023,211433.62429995023
13746,1,0,0,31.884447005714883,,31.884447005714883,31.884447005714883
13747,1,0,0,419.14336052528495,,419.14336052528495,419.14336052528495
13748,1,0,0,324.4895354853509,,324.4895354853509,324.4895354853509
13750,1,0,0,239.50978200924686,,239.50978200924686,239.50978200924686
13752,1,0,0,129.5999999975736,,129.5999999975736,129.5999999975736
13753,1,0,0,132.65949999980276,,132.65949999980276,132.65949999980276
13754,1,0,0,92.42778499781565,,92.42778499781565,92.42778499781565
13755,1,0,0,180.42670000075464,,180.42670000075464,180.42670000075464
13756,1,0,0,72.61000000453991,,72.61000000453991,72.61000000453991
13757,1,0,0,276.90199999519797,,276.90199999519797,276.90199999519797
13758,1,0,0,126.68353149079616,,126.68353149079616,126.68353149079616
13761,1,0,0,90.98213000281292,,90.98213000281292,90.98213000281292
13762,1,0,0,242.92467500518714,,242.92467500518714,242.92467500518714
13763,2,0,0,50174.703125529115,48932.934414695395,15573.893377541417,84775.51287351681
13765,1,0,0,1954.7498320198367,,1954.7498320198367,1954.7498320198367
13766,1,0,0,134.1528180020545,,134.1528180020545,134.1528180020545
13770,1,0,0,53.76409999693689,,53.76409999693689,53.76409999693689
13771,1,0,0,5509.174199914482,,5509.174199914482,5509.174199914482
13772,1,0,0,3329.140786499085,,3329.140786499085,3329.140786499085
13773,1,0,0,114.89424499264376,,114.89424499264376,114.89424499264376
13774,1,0,0,143.20345504617475,,143.20345504617475,143.20345504617475
13776,3,9,0,925.1855907333356,838.3879658712439,202.07216936632128,1844.169082435561
13777,1,0,0,328.7200000019261,,328.7200000019261,328.7200000019261
13778,1,0,0,315.535000016439,,315.535000016439,315.535000016439
13779,1,0,0,292.34470556407945,,292.34470556407945,292.34470556407945
13780,1,0,0,308.7545509921046,,308.7545509921046,308.7545509921046
13782,0,1,0,,,,
13784,1,0,0,38.8665000017988,,38.8665000017988,38.8665000017988
13785,1,0,0,246.16680001972617,,246.16680001972617,246.16680001972617
13786,1,0,0,28.5260709953333,,28.5260709953333,28.5260709953333
13787,1,0,0,1841.5088426109357,,1841.5088426109357,1841.5088426109357
13788,2,0,0,6456.12434263047,4219.8628086862445,3472.230734931515,9440.017950329424
13789,1,0,0,3525.7980285497724,,3525.7980285497724,3525.7980285497724
13793,2,0,0,36655.901120322305,386.89081688053017,36382.32800012728,36929.47424051733
13794,1,0,0,27.887354500240615,,27.887354500240615,27.887354500240615
13795,1,0,0,672.2458299965441,,672.2458299965441,672.2458299965441
13796,1,0,0,90879.7119379221,,90879.7119379221,90879.7119379221
13797,1,0,0,551.8466889846461,,551.8466889846461,551.8466889846461
13798,1,0,0,250.25209406964922,,250.25209406964922,250.25209406964922
13799,1,0,0,664.5675360111563,,664.5675360111563,664.5675360111563
13801,1,0,0,64.39200001021838,,64.39200001021838,64.39200001021838
13802,0,2,0,,,,
13803,1,0,0,116.97780000036407,,116.97780000036407,116.97780000036407
13804,0,3,0,,,,
13805,1,0,0,2543.7335545070373,,2543.7335545070373,2543.7335545070373
13806,1,0,0,65570.99523041131,,65570.99523041131,65570.99523041131
13808,0,1,0,,,,
13809,1,0,0,610.6201000005619,,610.6201000005619,610.6201000005619
13812,1,0,0,36.92254999262053,,36.92254999262053,36.92254999262053
13814,1,0,0,38.303000001297214,,38.303000001297214,38.303000001297214
13815,1,0,0,38.246399993908845,,38.246399993908845,38.246399993908845
13816,1,0,0,36.02519999846137,,36.02519999846137,36.02519999846137
13817,1,0,0,36.367800001729904,,36.367800001729904,36.367800001729904
13818,1,0,0,39.78525000098927,,39.78525000098927,39.78525000098927
13819,1,0,0,1864.5681045021804,,1864.5681045021804,1864.5681045021804
13820,1,0,0,572.5404495001343,,572.5404495001343,572.5404495001343
13822,1,0,0,39.060999998303075,,39.060999998303075,39.060999998303075
13823,1,0,0,38.77899999841343,,38.77899999841343,38.77899999841343
13824,1,0,0,35.697199996295254,,35.697199996295254,35.697199996295254
13825,1,0,0,35.877799994104265,,35.877799994104265,35.877799994104265
13826,1,0,0,38.29449998957684,,38.29449998957684,38.29449998957684
13827,1,0,0,34.97999999570777,,34.97999999570777,34.97999999570777
13828,1,0,0,42.12259999758543,,42.12259999758543,42.12259999758543
13829,1,0,0,68.35635000539938,,68.35635000539938,68.35635000539938
13830,1,0,0,38.596200000085766,,38.596200000085766,38.596200000085766
13831,1,0,0,39.21599999860546,,39.21599999860546,39.21599999860546
13832,1,0,0,153.4160399999033,,153.4160399999033,153.4160399999033
13833,1,0,0,98.46880000289808,,98.46880000289808,98.46880000289808
13834,1,0,0,261.3951000122724,,261.3951000122724,261.3951000122724
13835,1,0,0,28.15838200048869,,28.15838200048869,28.15838200048869
13836,1,0,0,301.79500000137335,,301.79500000137335,301.79500000137335
13837,1,0,0,408.1676605002986,,408.1676605002986,408.1676605002986
13839,1,0,0,68.42099999791337,,68.42099999791337,68.42099999791337
13841,1,0,0,356.77280299563364,,356.77280299563364,356.77280299563364
13842,1,0,0,363.00179648634156,,363.00179648634156,363.00179648634156
13843,1,0,0,662.7011445027427,,662.7011445027427,662.7011445027427
